Tweet id,Tweets,Sentiments
0, COVID     WuhanCoronovirus  Please stop using abbreviations to cover CCP s crime https   twitter com liuyun status   ,Neutral
1, ChinaVirus  chinazivirus  ChinaCoronaVirus  ChinaPneumonia  WuhanCoronovirus  WuhanSARS  WuhanViruspic twitter com fXnBFBGh,Neutral
2, crit en   The Eyes of Darkness de Dean Koontz suit un virus appel   Wuhan   d velopp  dans les laboratoires militaires de Wuhan  en  Chine    WuhanCoronovirus https   twitter com reallygraceful status   ,Neutral
3,Fall in new cases raises hope in virus outbreak in  China   https   apnews com cdfdceabdeaa      WuhanCoronovirus,Neutral
4,Accelerate research and innovation  Mere buzz words that sound impressive to the masses  You re under influence of the Chinese government  And everyone knows it   shameonyou  wuhancoronov rus  China,Positive
5,st case of  coronavirus confirmed in London   WHO  PHE London  CDCgov  coronavirusuk  outbreak  coronaviruschina  coronaviruswuhan  WuhanPneumonia  wuhancoronov rus  COVID  CoronavirusWho  pandemic  NotContained  CoronavirusOutbreak  corona https   www google com amp s www telegraph co uk global health science and disease coronavirus news uk china death toll latest amp   pic twitter com sHqqRjzu,Neutral
6,               coronaravirus     https   youtu be zUlwKdBBY   coronaravirus  WuhanCoronovirus  ChinaWuHan  COVI  COVID  Valentines  wuhancoronovirusmalaysia  WuhanVirus  coronavirus,Neutral
7,Se suspende el  MWC  el GP de China se suspende   Que no nos dicen del coronavirus   COVID   WuhanCoronovirus,Positive
8,Do you remember  Wuhan protests  Do you remember  CCP ignored citizens  demands before     https   www google com amp s www bbc com news amp blogs china blog       https   youtu be zvfAVSpU   And now   WuhanCoronovirus breaks out  CCP still ignored citizens  demands  Human rights and democracy are necessary for everyone ,Neutral
9,Our team humbly asks you to help the people in China who are lacking masks and other protective gear to fight Wuhan coronavirus  Please kindly make a donation thru our official website or contact us for more details   https   buff ly UKrn   WuhanCoronovirus  ProtectTheChildrenpic twitter com wYKbVvB,Neutral
10, WuhanCoronovirus is  times more contagious than SARS  However Carrie Lame duck Govt has chosen to sit on the sidelines did nothing to sustain sufficient mask supplies  All measures r no match w Sars     No wonder Bloomberg said HK govt is Showing Symptoms of a Failed State  ,Negative
11, WuhanCoronavius  WuhanCoronvirus  WuhanLockDown  wuhancoronov rus  coronavirus  Coronaviruscoverup  SingaporeAirShow  Singapore  singaporezombieapocalypse IS THE CHINESE GOVT STILL LYING ABOUT WAT REALLY IS D TRUTH  https   twitter com RealJamesWoods status   ,Positive
12, NeverForget  NeverForgive  HKPoliceTerrorism  HKPoliceState  StandWithHongKong  HongKong  China is terrorists  antichinazi  WuhanCoronovirus https   twitter com aaronMCN status   ,Neutral
13,First hand insight into what it s like inside a coronavirus field hospital by  XHNews reporter Xu Zeyu   coronavirus  WuhanJiayou  hospital  outbreak  wuhancoronov rus  ChinaDaily  ChinaDailyNewshttps   www facebook com watch  v   ,Positive
14,Can t believe  ArianaGrande is trending cos of her dress at the Grammy s while in the Asian continent of the world  people are dying from  WuhanCoronovirus ,Neutral
15,this is just terrifying    WuhanLockDown  WuhanCoronovirus  wuhanquarantine  wuhanoutbreak  CoronaOutbreak  CoronavirusOutbreak  wuhanpnemoniahttps   twitter com BNODesk status   ,Negative
16,BREAKING NEWS Pagi Ini Dokter Paparkan Kondisi Pasien di Jambi yang Diduga Kena Virus Corona   tribunjambi  viruscorona  coronavirus  jambi  WuhanCoronovirus  WuhanPneumonia  CoronaOutbreak https   jambi tribunnews com    breaking news pagi ini dokter paparkan kondisi pasien di jambi yang diduga kena virus corona   lewat  tribunjambiku,Neutral
17, nCoV full genome sequences analyzed  WuhanCoronovirus https   twitter com WHO status   ,Positive
18, ECMOs are being delivered to Wuhan Jinyintan Hospital   To put it into perspective  a top Shanghai hospital  Zhongshan  has    On    a yo male patient in Wuhan was rescued by ECMO   https   bit ly Gqqpmi   Wuhan  ncov  WuhanCoronovirus pic twitter com GuaZCknBa,Neutral
19,as separation camp for patients who suspected infection of  WuhanCoronovirus ,Neutral
20,True  Our worries are meant for all as  WuhanCoronovirus spreading in rapid mode ,Neutral
21, coronarvirus  CoronaOutbreak  WuhanCoronovirus  coronaviruschinahttps   www fatimacoeg site   virus corona buat kota ini seperti kota html  ,Neutral
22, WuhanCoronovirus  wuhanDonteatunclean food  read Bible chapter  Leviticuspic twitter com QnioJuGiZ,Positive
23,All I ll say is before  Vancouver and other major cities in  Canada resemble  Wuhan  start provisioning NOW   coronarvirus  WuhanCoronovirus  itsalreadyhere,Negative
24, January update from  BBCWorld on  WuhanCoronovirus  CoronavirusOutbreakhttps   www youtube com watch v jAWPcyPFQc  ,Neutral
25, laurelchor VERY unsettling news today abt fast transmissibility of  WuhanCoronovirus    yr insightful thought abt this  makes me think there ll be MANY well known ppl in USA Europe publicly asking yr very question   What does it take to change behavior  https   twitter com laurelchor status  s   ,Positive
26,Tom    this  WuhanCoronovirus is going to be a shit storm,Neutral
27,China says coronavirus can spread before symptoms show as death toll grows to    th US case is confirmed    coronarvirus  WuhanCoronovirus,Positive
28, WuhanCoronovirus As an Chinese international student in US  I m extremely worried about my family   They asked me to stay in US during the spring break and told me that one of my friend may be infected   I wish he just had a normal fever   Thankfully my family are healthy   yet ,Neutral
29,Ban china people from travelling to Indonesia right now        WuhanCoronovirus  coronarvirus  Wuhan,Neutral
30,Le bilan du  WuhanCoronovirus s alourdit    morts  https   twitter com WilliamYang status   ,Neutral
31,Bad advice  as it can be transmitted before any symptoms appear    Should get tested if you have visited China recently  even if you haven t developed symptoms  coronavirus  WuhanCoronovirus  outbreak  WuhanViruspic twitter com HLUaCPAScc,Negative
32, wuhanchallenge  For   million  would you fly to  WuhanChina  take the train between cities  not wash your hands at any point  having used the bathroom several times in each   then eat  chicken wings with your hands   sleep in a   F room with just a sheet   WuhanCoronovirus,Neutral
33,The Chinese governments definitely not being truthful about the death toll when ppl are literally collapsing in the street and they are hastily building bedding facilities   WuhanCoronovirus pic twitter com swOoHBcM,Neutral
34,Mungkin ini balasan kepada  China  tuhan mengirimkan  WuhanCoronovirus sebagai balasan terhadap apa yang meraka lakukan kepada etnis islam disana  https   twitter com  heishan status   ,Neutral
